Life expectancy at birth (years) - WHO 2016 data published in 2018,,,
,,,
Member State,Male,Female,Both sexes
Tunisia,74.1,78.1,76.0
Turkey,73.3,79.4,76.4
Turkmenistan,64.7,71.7,68.2
Tuvalu,-,-,-
Uganda,60.2,64.8,62.5
Ukraine,67.6,77.1,72.5
United Arab Emirates,76.5,78.7,77.2
United Kingdom,79.7,83.2,81.4
United Republic of Tanzania,62.0,65.8,63.9
United States of America,76.0,81.0,78.5
Uruguay,73.2,80.8,77.1
Uzbekistan,69.7,75.0,72.3
Vanuatu,70.1,74.1,72.0
Venezuela (Bolivarian Republic of),69.5,79.0,74.1
Viet Nam,71.7,80.9,76.3
Yemen,63.9,66.8,65.3
Zambia,60.2,64.4,62.3
Zimbabwe,59.6,63.1,61.4
,,,
WHO region,,,
African Region,59.6,62.7,61.2
Region of the Americas,73.8,79.8,76.8
South-East Asia Region,67.9,71.3,69.5
European Region,74.2,80.8,77.5
Eastern Mediterranean Region,67.7,70.7,69.1
Western Pacific Region,75.0,78.9,76.9
,,,
Global,69.8,74.2,72.0
